,counterpart_area,economy,time,ExternalDebtStock
660,011,ARG,YR2010,
661,011,ARG,YR2011,
662,011,ARG,YR2012,
663,011,ARG,YR2013,
664,011,ARG,YR2014,428390456.0
665,011,ARG,YR2015,403474448.1
666,011,ARG,YR2016,320175196.9
667,011,ARG,YR2017,280675689.5
668,011,ARG,YR2018,192264974.6
669,011,ARG,YR2019,106041828.0
670,011,ARG,YR2020,127004085.3
671,011,DZA,YR2010,545169.6
672,011,DZA,YR2011,270425.1
673,011,DZA,YR2012,0.0
674,011,DZA,YR2013,
675,011,DZA,YR2014,
676,011,DZA,YR2015,
677,011,DZA,YR2016,
678,011,DZA,YR2017,
679,011,DZA,YR2018,
680,011,DZA,YR2019,
681,011,DZA,YR2020,
682,011,ETH,YR2010,
683,011,ETH,YR2011,
684,011,ETH,YR2012,
685,011,ETH,YR2013,
686,011,ETH,YR2014,107227000.0
687,011,ETH,YR2015,557384000.0
688,011,ETH,YR2016,736403000.0
689,011,ETH,YR2017,969329000.0
690,011,ETH,YR2018,944111000.0
691,011,ETH,YR2019,877271000.0
692,011,ETH,YR2020,723859000.0
693,011,TZA,YR2010,
694,011,TZA,YR2011,
695,011,TZA,YR2012,
696,011,TZA,YR2013,
697,011,TZA,YR2014,
698,011,TZA,YR2015,
699,011,TZA,YR2016,
700,011,TZA,YR2017,
701,011,TZA,YR2018,
702,011,TZA,YR2019,
703,011,TZA,YR2020,
704,011,UZB,YR2010,1202000.0
705,011,UZB,YR2011,0.0
706,011,UZB,YR2012,
707,011,UZB,YR2013,
708,011,UZB,YR2014,
709,011,UZB,YR2015,
710,011,UZB,YR2016,
711,011,UZB,YR2017,
712,011,UZB,YR2018,
713,011,UZB,YR2019,
714,011,UZB,YR2020,
715,011,VNM,YR2010,1181353.8
716,011,VNM,YR2011,823679.5
717,011,VNM,YR2012,480034.9
718,011,VNM,YR2013,121144.1
719,011,VNM,YR2014,845212.8
720,011,VNM,YR2015,842657.0
721,011,VNM,YR2016,1574803.1
722,011,VNM,YR2017,1642571.5
723,011,VNM,YR2018,1444670.1
724,011,VNM,YR2019,1289956.1
725,011,VNM,YR2020,1157512.5
726,012,ARG,YR2010,50783620.0
727,012,ARG,YR2011,50672805.9
728,012,ARG,YR2012,51483483.4
729,012,ARG,YR2013,51807784.9
730,012,ARG,YR2014,67487624.8
731,012,ARG,YR2015,62516999.7
732,012,ARG,YR2016,47602215.8
733,012,ARG,YR2017,41353518.8
734,012,ARG,YR2018,28004635.0
735,012,ARG,YR2019,15354218.7
736,012,ARG,YR2020,16882960.0
737,012,DZA,YR2010,19000.0
738,012,DZA,YR2011,0.0
739,012,DZA,YR2012,
740,012,DZA,YR2013,
741,012,DZA,YR2014,
742,012,DZA,YR2015,
743,012,DZA,YR2016,
744,012,DZA,YR2017,
745,012,DZA,YR2018,
746,012,DZA,YR2019,
747,012,DZA,YR2020,
748,012,ETH,YR2010,0.0
749,012,ETH,YR2011,
750,012,ETH,YR2012,
751,012,ETH,YR2013,
752,012,ETH,YR2014,
753,012,ETH,YR2015,
754,012,ETH,YR2016,
755,012,ETH,YR2017,120000000.0
756,012,ETH,YR2018,380196000.0
757,012,ETH,YR2019,351360000.0
758,012,ETH,YR2020,322040000.0
759,012,TZA,YR2010,31399077.0
760,012,TZA,YR2011,31384837.4
761,012,TZA,YR2012,231408252.0
762,012,TZA,YR2013,312458751.2
763,012,TZA,YR2014,328145627.2
764,012,TZA,YR2015,338087714.6
765,012,TZA,YR2016,389720966.8
766,012,TZA,YR2017,780627744.1
767,012,TZA,YR2018,1171386849.7
768,012,TZA,YR2019,1119379118.1
769,012,TZA,YR2020,1017341028.0
770,012,UZB,YR2010,25514000.0
771,012,UZB,YR2011,19186000.0
772,012,UZB,YR2012,0.0
773,012,UZB,YR2013,0.0
774,012,UZB,YR2014,
775,012,UZB,YR2015,
776,012,UZB,YR2016,
777,012,UZB,YR2017,
778,012,UZB,YR2018,
779,012,UZB,YR2019,
780,012,UZB,YR2020,
781,012,VNM,YR2010,179445709.7
782,012,VNM,YR2011,313677570.9
783,012,VNM,YR2012,278131615.2
784,012,VNM,YR2013,381089693.4
785,012,VNM,YR2014,331727895.4
786,012,VNM,YR2015,284301150.9
787,012,VNM,YR2016,252200869.9
788,012,VNM,YR2017,218934621.4
789,012,VNM,YR2018,174765180.4
790,012,VNM,YR2019,132630664.3
791,012,VNM,YR2020,91828367.4
792,018,ARG,YR2010,5999000.0
793,018,ARG,YR2011,5999000.0
794,018,ARG,YR2012,5999000.0
795,018,ARG,YR2013,5999000.0
796,018,ARG,YR2014,8112000.0
797,018,ARG,YR2015,7663000.0
798,018,ARG,YR2016,6227000.0
799,018,ARG,YR2017,5240000.0
800,018,ARG,YR2018,3625000.0
801,018,ARG,YR2019,1965000.0
802,018,ARG,YR2020,2142000.0
803,018,DZA,YR2010,
804,018,DZA,YR2011,
805,018,DZA,YR2012,
806,018,DZA,YR2013,
807,018,DZA,YR2014,
808,018,DZA,YR2015,
809,018,DZA,YR2016,
810,018,DZA,YR2017,
811,018,DZA,YR2018,
812,018,DZA,YR2019,
813,018,DZA,YR2020,
814,018,ETH,YR2010,
815,018,ETH,YR2011,
816,018,ETH,YR2012,
817,018,ETH,YR2013,
818,018,ETH,YR2014,
819,018,ETH,YR2015,
820,018,ETH,YR2016,
821,018,ETH,YR2017,
822,018,ETH,YR2018,
823,018,ETH,YR2019,
824,018,ETH,YR2020,
825,018,TZA,YR2010,
826,018,TZA,YR2011,
